indexk,qx,qy,g2EPW,g2W90,g2W90long,g2W90tran,susRe,susIm,d2EPW,d2W90,d2W90long,d2W90tran
1350,-0.6246,-1.1768,177.24268295843353,16002.47914041099,9131.022772665543,6871.456367745398,-17531.138530562068,42390.892536471096,-246.81075278308074,-18162.853772588598,-7451.794665499918,-10711.059107088666
1351,-0.6082,-1.1673,162.42579013612962,14720.768918837275,8051.299393473277,6669.469525363972,-17438.47049516739,38537.62015007593,-224.80630591361776,-16564.304426180257,-6403.270234684328,-10161.034191495914
1352,-0.5918,-1.1578,198.02969776114,13738.136720592242,7151.368817747523,6586.767902844592,-17372.368015183984,29667.362844553594,-273.31330496000226,-15479.72843971548,-5873.078217637526,-9606.650222077837
1353,-0.5753,-1.1483,248.21574481421834,13071.460289919454,6440.921231058241,6630.5390588612045,-17331.708583155818,25353.160540647717,-342.4653128568694,-14818.646998706321,-5758.406186641775,-9060.240812064467
1354,-0.5589,-1.1389,290.30506240692097,12732.388080543938,5925.847788893719,6806.54029165014,-17312.508155076852,24421.458247047078,-400.6447366233085,-14507.26594637232,-5957.192091853535,-8550.073854518743
1355,-0.5425,-1.1294,311.81829468807547,12726.807852921336,5608.726360869533,7118.081492051752,-17312.443865779547,24350.238514867706,-430.4237311136312,-14506.078085511235,-6385.746921824405,-8120.331163686783
1356,-0.526,-1.1199,309.30998095587364,13054.571374023315,5488.499595288018,7566.071778735185,-17331.412656158107,25193.490081596992,-427.1032810749955,-14811.703427971835,-6980.722819579851,-7830.980608391935
1357,-0.5096,-1.1104,287.8941988869188,13709.515199050278,5559.364146519734,8150.151052530477,-17370.712367516695,29696.868414006847,-398.0145648473825,-15455.673994588537,-7696.220244529103,-7759.453750059366
1358,-0.4931,-1.1009,261.1906786192823,14679.799993394347,5812.308178615319,8867.491814778978,-17433.728981487242,38872.54041516642,-362.2633764336692,-16503.996303133426,-8505.29529602118,-7998.701007112275
1359,-0.4767,-1.0914,252.0995957604028,15948.544729213698,6234.176195513389,9714.368533700426,-17525.38776575594,42451.96347705348,-351.71878937343786,-18054.934053908662,-9393.43671045203,-8661.49734345662
1360,-0.4603,-1.0819,295.9207304037844,17494.67861778422,6809.194253305828,10685.484364478289,-17652.84746885837,39259.065728023736,-416.05592841726934,-20236.46358173757,-10359.68509755107,-9876.778484186514
