"indexk","kx","ky","band"
447,-0.2868,0.4104,0.9092
448,-0.2868,0.456,0.9257
449,-0.2868,0.5016,0.9386
450,-0.2868,0.5472,0.9467
451,-0.2868,0.5928,0.9484
452,-0.2868,0.6384,0.9428
453,-0.2868,0.684,0.9288
454,-0.2868,0.7296,0.9058
455,-0.2868,0.7752,0.8735
456,-0.2295,-0.7752,1.3908
457,-0.2295,-0.7296,1.4243
458,-0.2295,-0.684,1.4484
459,-0.2295,-0.6384,1.4634
460,-0.2295,-0.5928,1.4698
461,-0.2295,-0.5472,1.4688
462,-0.2295,-0.5016,1.4613
463,-0.2295,-0.456,1.4488
464,-0.2295,-0.4104,1.4326
465,-0.2295,-0.3648,1.4141
466,-0.2295,-0.3192,1.3945
467,-0.2295,-0.2736,1.3751
468,-0.2295,-0.228,1.3569
469,-0.2295,-0.1824,1.3407
470,-0.2295,-0.1368,1.3274
471,-0.2295,-0.0912,1.3173
472,-0.2295,-0.0456,1.311
473,-0.2295,0.,1.3089
474,-0.2295,0.0456,1.311
475,-0.2295,0.0912,1.3173
476,-0.2295,0.1368,1.3274
477,-0.2295,0.1824,1.3407
478,-0.2295,0.228,1.3569
479,-0.2295,0.2736,1.3751
480,-0.2295,0.3192,1.3945
481,-0.2295,0.3648,1.4141
482,-0.2295,0.4104,1.4326
483,-0.2295,0.456,1.4488
484,-0.2295,0.5016,1.4613
485,-0.2295,0.5472,1.4688
486,-0.2295,0.5928,1.4698
487,-0.2295,0.6384,1.4634
488,-0.2295,0.684,1.4484
489,-0.2295,0.7296,1.4243
490,-0.2295,0.7752,1.3908
491,-0.1721,-0.7752,1.8862
492,-0.1721,-0.7296,1.9213
493,-0.1721,-0.684,1.9472
494,-0.1721,-0.6384,1.9639
495,-0.1721,-0.5928,1.9721
496,-0.1721,-0.5472,1.9728
497,-0.1721,-0.5016,1.9669
498,-0.1721,-0.456,1.9558
499,-0.1721,-0.4104,1.9408
500,-0.1721,-0.3648,1.9232
501,-0.1721,-0.3192,1.9043
502,-0.1721,-0.2736,1.8853
503,-0.1721,-0.228,1.8671
504,-0.1721,-0.1824,1.8507
505,-0.1721,-0.1368,1.8367
506,-0.1721,-0.0912,1.8257
507,-0.1721,-0.0456,1.8182
508,-0.1721,0.,1.8154
