indexk,kx,ky,g2EPW,g2W90,susRe,susIm,d2EPW,d2W90
3302,0.4438,-0.2373,1.4475023491773272e7,87471.27570339727,-37478.526029187735,52277.90493944413,-4.447902444792688e7,-291530.94505449606
3303,0.4603,-0.2278,1.4983266151854217e7,84329.35507218343,-30158.104646109157,11136.663034916663,-3.971779472781005e7,-228489.9859506431
3304,0.4767,-0.2183,1.582309456614471e7,80173.09998276217,-25823.589393756964,2386.8950527823513,-3.816088258895643e7,-187271.94519615633
3305,0.4931,-0.2088,1.6995472926545322e7,75067.5615872651,-23020.73353082616,554.9940781388489,-3.86638053133266e7,-157416.60698553844
3306,0.5096,-0.1993,1.8476015241467018e7,69174.81854523855,-21068.043242872936,145.6469331186967,-4.060727628295093e7,-133908.5778797906
3307,0.526,-0.1898,2.0231253909634836e7,62756.67798768506,-19676.020138510066,45.26072682177005,-4.371931407365646e7,-114720.6057398617
3308,0.5425,-0.1803,2.2226120788465448e7,56155.06453309732,-18654.34546296006,16.65916822196921,-4.7789938437435456e7,-98684.07137993291
3309,0.5589,-0.1708,2.4424340964191824e7,49750.60774691077,-17925.119793384274,7.4855132594926355,-5.2727592492317416e7,-85433.02194473597
3310,0.5753,-0.1613,2.6789052481311455e7,43908.09566248679,-17433.15751743345,4.169768600773236,-5.8453915095297106e7,-74753.87797015975
3311,0.5918,-0.1518,2.9287660108720396e7,38922.9389130671,-17131.54297617319,2.8590638907350554,-6.489626058269162e7,-66472.6949528954
3312,0.6082,-0.1424,3.1897536527704645e7,34982.93937840542,-16992.915420519756,2.3947431109778985,-7.200219180869056e7,-60459.31908089183
3313,0.6246,-0.1329,3.460574415463394e7,32154.462475608376,-17008.336956786814,2.4501763096756677,-7.97883093098238e7,-56584.4957988961
3314,0.6411,-0.1234,3.739994824786375e7,30394.089034188015,-17154.82482474029,2.9693777508675976,-8.833888733614877e7,-54610.9564192462
3315,0.6575,-0.1139,4.025535694953275e7,29579.429587240797,-17434.347293850708,4.229722984230598,-9.789660050382783e7,-54353.79426772888
3316,0.674,-0.1044,4.312712327191352e7,29548.559497451562,-17856.182483126646,7.027769176411377,-1.0863521775513662e8,-55645.762086598006
3317,0.6904,-0.0949,4.595565870319255e7,30137.2353240065,-18416.451498195605,13.207847258582191,-1.2049879374266711e8,-58307.447932920695
3318,0.7068,-0.0854,4.8685528771489866e7,31205.89910447673,-19153.378034914927,28.300341122502523,-1.3340298928464681e8,-62350.91713590122
3319,0.7233,-0.0759,5.12909091137933e7,32653.011257157435,-20088.97117679293,67.58394261885667,-1.4705673290526935e8,-67810.40408576593
3320,0.7397,-0.0664,5.379469775071959e7,34415.81346345186,-21307.606420990833,182.67402547256253,-1.6214194230913463e8,-75011.31294311654
3321,0.7561,-0.0569,5.6266130471528895e7,36462.72830640792,-22905.552280213764,547.9553577399711,-1.7975360175303692e8,-84412.85425045977
3322,0.7726,-0.0475,5.8786328258715816e7,38782.33939682466,-25127.45299315261,1832.696290987339,-2.0179934341449735e8,-97200.70077251097
3323,0.789,-0.038,6.138576337563324e7,41372.441849413,-28462.495462133895,6912.787868225785,-2.3162415860051543e8,-115750.37703563915
3324,0.8055,-0.0285,6.397910972431955e7,44230.30383497879,-33952.303457707,28723.980154350375,-2.7515546390100324e8,-144788.80834260548
3325,0.8219,-0.019,6.633816905443847e7,47343.62379366289,-43547.34554887857,117145.84644828935,-3.3886199541752654e8,-192462.6580336699
3326,0.8383,-0.0095,6.813587550427713e7,50681.431963228126,-56086.59386704076,300399.18757741654,-3.947660772608746e8,-250932.19807839152
3327,0.8548,0,6.905922576227798e7,54184.877077772726,-55755.701480326505,203513.93926552357,-3.469855689636022e8,-249801.5997785692
3328,0.8712,0.0095,6.894438953306563e7,57758.529656229955,-44519.363684836506,42759.99502039075,-2.577283826066062e8,-203769.9273334542
3329,0.8877,0.019,6.786527010131088e7,61263.441860501225,-35716.43442852333,5836.466900807968,-2.0182392919387516e8,-170003.9780107447
3330,0.9041,0.0285,6.612796674057184e7,64514.400409470836,-29957.69697326302,693.1671715018527,-1.6847757447414407e8,-148805.26767449957
3331,-0.9041,-0.9965,6.546278606669051e7,64927.46642707318,-30129.633518590537,745.195893843963,-1.6879510918746138e8,-150645.74479059016
3332,-0.8877,-0.987,6.363022100806054e7,67593.10886635986,-26079.826490278636,83.96655495777829,-1.4691226437244007e8,-135065.02183417362
3333,-0.8712,-0.9775,6.20155835130585e7,69360.27263319357,-23057.033104699854,9.08976165246116,-1.3185525114122467e8,-122075.44344948493
3334,-0.8548,-0.968,6.086932245169566e7,70012.03483804435,-20719.543430774447,0.98456446493368,-1.2155083793174835e8,-110339.27963295666
3335,-0.8383,-0.9585,6.029188687640725e7,69457.16878056203,-18855.63952837918,0.10822760475751912,-1.1454378217820694e8,-99224.35314253568
3336,-0.8219,-0.949,6.022690785163883e7,67771.16417160841,-17367.582836715803,0.012856050579880882,-1.0993188051571162e8,-88763.22645523504
3337,-0.8055,-0.9396,6.048011364649342e7,65196.64637037453,-16172.155917706961,0.0017131896249870332,-1.0684297358272383e8,-79083.52388914677
3338,-0.789,-0.9301,6.0770587784506425e7,62098.445463924414,-15216.120082647933,0.00026850981222568986,-1.044987788554708e8,-70442.39061802886
3339,-0.7726,-0.9206,6.0824164365294e7,58887.415565324634,-14460.133058603382,0.000051906644391259225,-1.0228427552886336e8,-63078.97038585318
3340,-0.7561,-0.9111,6.0491541294787504e7,55940.42981000497,-13877.037792789415,0.000013081865575888458,-9.99554325235399e7,-57172.45147411627
3341,-0.7397,-0.9016,5.983485257926434e7,53544.31042311011,-13446.93012896658,4.427665723166154e-6,-9.759924696266672e7,-52777.14560890779
3342,-0.7233,-0.8921,5.911795977052713e7,51878.62757479434,-13165.309308343349,2.0952715001146044e-6,-9.562744467695068e7,-49890.67714536615
3343,-0.7068,-0.8826,5.868169355180159e7,51033.269109571316,-13026.693433401035,1.4354977119479437e-6,-9.454473893260428e7,-48476.97900920093
